Unnamed: 0,age,Gender,Department,employment status,Years of experience,Work environment,Do you often feel overwhelmed by your workload?,Is your workload generally manageable?,Do you frequently work beyond your scheduled hours?,Do you feel supported by your manager and team?,Are you satisfied with the resources and help available at work?,Do you often feel isolated when dealing with work challenges?,Do you frequently think about work in your personal time?,Do you feel you have a healthy work-life balance?,Does your work often interfere with personal or family time?,Do you regularly feel physically or emotionally exhausted?,"Do you experience symptoms like sleep issues, anxiety, or low mood?",Do you regularly engage in physical or leisure activities?,How do you feel?
746,31-40,male,IT Services,part-time,less than 1 year,remote,2,5,2,1,3,2,5,3,5,3,4,1,Highly Stressed
747,31-40,female,Hardware engineering,contract,less than 1 year,Office-based,3,4,1,2,4,3,1,2,5,4,1,4,Healthy
748,under 20,female,Hardware engineering,full-time,16-20,remote,1,4,5,4,4,1,2,5,5,5,1,2,Healthy
749,31-40,male,Cyber Security,full-time,16-20,Office-based,2,4,4,2,1,3,3,3,3,1,1,2,Mildly Stressed
750,41-50,female,IT Services,part-time,1-5,hybrid,4,2,3,5,4,4,3,2,3,5,4,4,Mildly Stressed
751,41-50,female,Cyber Security,full-time,16-20,remote,5,2,1,1,5,5,4,1,1,2,2,4,Mildly Stressed
752,under 20,female,IT Services,part-time,1-5,Office-based,2,5,1,3,3,2,1,5,3,5,4,1,Healthy
753,31-40,female,Cyber Security,full-time,less than 1 year,hybrid,4,2,3,1,2,2,5,5,1,1,4,1,Mildly Stressed
754,31-40,male,Hardware engineering,full-time,1-5,remote,2,2,3,4,4,3,1,3,4,4,3,2,Mildly Stressed
755,31-40,male,Other,full-time,1-5,Office-based,2,2,2,2,5,3,3,3,2,3,1,2,Healthy
756,51-60,female,Cyber Security,part-time,6-10,remote,3,2,3,1,2,5,1,4,1,2,5,5,Mildly Stressed
757,21-30,female,IT Services,part-time,16-20,Office-based,1,1,4,3,5,5,3,1,1,4,2,2,Mildly Stressed
758,51-60,female,IT Services,contract,1-5,hybrid,5,5,4,3,4,4,2,1,4,3,5,4,Mildly Stressed
759,21-30,male,Hardware engineering,part-time,less than 1 year,hybrid,4,2,4,2,4,1,2,2,5,1,3,4,Mildly Stressed
760,31-40,male,IT Services,full-time,11-15,remote,2,5,4,2,3,4,3,2,5,5,3,5,Highly Stressed
761,31-40,male,Software development,full-time,1-5,remote,5,3,4,1,1,2,5,4,5,4,2,3,Highly Stressed
762,51-60,male,Other,part-time,16-20,Office-based,2,1,2,4,5,3,5,1,1,3,5,3,Mildly Stressed
763,51-60,female,Cyber Security,part-time,6-10,hybrid,1,2,1,5,1,4,1,2,1,3,2,4,Healthy
764,21-30,female,Other,part-time,less than 1 year,Office-based,5,1,3,3,1,3,3,1,3,5,2,3,Highly Stressed
765,41-50,female,Hardware engineering,contract,6-10,hybrid,4,1,1,2,2,3,4,1,3,4,1,3,Mildly Stressed
766,21-30,male,Cyber Security,full-time,11-15,remote,2,3,3,5,2,4,5,2,2,4,5,5,Mildly Stressed
767,51-60,female,Cyber Security,contract,1-5,Office-based,1,5,2,5,5,4,5,3,2,1,1,2,Healthy
768,51-60,male,Software development,contract,1-5,Office-based,5,1,2,5,1,5,2,3,3,4,1,2,Mildly Stressed
769,under 20,male,Hardware engineering,full-time,16-20,hybrid,2,4,5,4,3,1,5,2,1,5,1,3,Mildly Stressed
770,51-60,female,IT Services,full-time,1-5,hybrid,2,3,5,2,1,5,5,4,4,4,4,1,Burned Out
771,under 20,female,Software development,part-time,less than 1 year,hybrid,4,4,2,3,2,1,5,5,3,1,3,5,Healthy
772,41-50,female,Software development,part-time,11-15,remote,1,3,2,2,1,4,3,1,1,3,3,3,Mildly Stressed
773,21-30,male,Other,contract,6-10,Office-based,3,4,3,1,4,1,3,5,3,4,4,1,Mildly Stressed
774,21-30,male,Other,part-time,11-15,hybrid,2,4,2,3,4,2,2,2,5,5,2,1,Mildly Stressed
775,under 20,female,Other,part-time,1-5,remote,5,1,1,2,3,5,1,1,3,4,5,5,Highly Stressed
776,21-30,female,Software development,full-time,6-10,hybrid,4,1,3,3,5,5,5,5,5,2,5,2,Highly Stressed
777,51-60,male,IT Services,full-time,16-20,Office-based,4,3,2,1,1,5,1,3,1,1,5,4,Mildly Stressed
778,31-40,female,Cyber Security,part-time,11-15,hybrid,2,5,3,3,4,3,3,4,5,3,1,1,Healthy
779,under 20,male,Other,full-time,6-10,Office-based,2,1,3,5,5,3,5,5,3,2,5,4,Healthy
780,21-30,male,IT Services,part-time,6-10,remote,2,1,4,4,4,4,1,4,5,5,5,4,Mildly Stressed
781,under 20,female,Hardware engineering,full-time,6-10,remote,3,2,5,1,5,4,1,3,4,4,5,5,Highly Stressed
782,under 20,female,Other,full-time,less than 1 year,hybrid,2,1,3,3,5,3,4,5,5,1,3,2,Mildly Stressed
783,31-40,female,Cyber Security,full-time,11-15,Office-based,1,5,3,1,4,5,3,2,5,4,4,5,Mildly Stressed
784,51-60,female,Hardware engineering,full-time,6-10,Office-based,5,2,4,5,2,3,2,1,2,4,2,1,Highly Stressed
785,under 20,male,Hardware engineering,part-time,11-15,Office-based,2,4,2,4,5,1,2,3,4,4,4,2,Healthy
786,21-30,male,Cyber Security,contract,6-10,hybrid,3,4,3,1,1,5,4,4,1,4,5,3,Highly Stressed
787,41-50,male,Other,full-time,16-20,Office-based,5,2,4,5,4,3,1,4,5,1,2,2,Mildly Stressed
788,under 20,female,Software development,part-time,16-20,Office-based,4,2,1,5,2,4,4,3,4,2,2,5,Mildly Stressed
789,under 20,male,Cyber Security,part-time,16-20,Office-based,2,2,4,5,4,3,4,2,1,5,4,5,Mildly Stressed
790,31-40,female,Cyber Security,full-time,1-5,Office-based,5,3,5,3,3,2,3,2,4,2,4,4,Highly Stressed
791,51-60,female,Cyber Security,contract,6-10,hybrid,4,5,5,2,1,3,5,4,2,1,4,3,Mildly Stressed
792,41-50,female,Hardware engineering,full-time,1-5,hybrid,3,5,2,1,3,5,1,3,1,5,4,2,Mildly Stressed
793,21-30,female,IT Services,part-time,11-15,Office-based,1,4,2,2,5,3,2,3,1,3,1,3,Healthy
794,41-50,female,Software development,contract,1-5,Office-based,2,4,5,5,5,4,2,1,5,2,3,4,Mildly Stressed
795,21-30,female,Other,part-time,11-15,remote,1,4,5,2,3,1,4,4,3,1,3,3,Healthy
796,51-60,male,Other,full-time,11-15,remote,3,1,3,5,3,2,4,2,1,1,5,3,Mildly Stressed
797,21-30,female,IT Services,contract,11-15,Office-based,5,4,5,5,5,5,4,5,1,1,1,2,Healthy
798,31-40,male,Cyber Security,part-time,1-5,Office-based,5,2,2,4,2,4,1,2,2,5,2,3,Mildly Stressed
799,31-40,male,Software development,part-time,6-10,remote,3,4,5,4,1,2,4,2,2,4,4,4,Mildly Stressed
800,31-40,female,Other,part-time,1-5,remote,3,2,2,2,4,3,4,5,2,3,5,1,Mildly Stressed
801,31-40,female,Other,full-time,6-10,Office-based,2,3,1,1,3,2,5,4,5,5,2,1,Highly Stressed
802,41-50,female,Cyber Security,contract,6-10,hybrid,4,1,5,2,1,1,1,1,1,5,3,5,Highly Stressed
803,51-60,male,IT Services,full-time,11-15,hybrid,1,1,2,1,4,2,3,2,2,2,2,1,Mildly Stressed
804,21-30,female,Software development,full-time,1-5,Office-based,1,5,4,2,4,2,3,2,2,3,4,2,Mildly Stressed
805,21-30,male,IT Services,full-time,6-10,Office-based,5,3,3,3,3,3,5,4,4,1,4,5,Mildly Stressed
806,31-40,female,IT Services,contract,16-20,remote,5,2,2,3,2,3,2,4,4,5,3,1,Highly Stressed
807,31-40,female,Software development,full-time,6-10,remote,2,3,5,1,2,5,3,3,2,3,4,1,Highly Stressed
808,under 20,male,Software development,full-time,16-20,hybrid,3,1,5,4,1,3,1,4,5,2,1,5,Mildly Stressed
809,51-60,male,Other,full-time,1-5,Office-based,1,2,1,1,1,2,2,4,3,4,5,2,Mildly Stressed
810,41-50,female,Other,full-time,1-5,remote,2,3,4,2,5,1,4,2,4,3,3,5,Mildly Stressed
811,21-30,male,Software development,part-time,1-5,hybrid,5,1,2,5,2,3,1,1,4,1,3,2,Mildly Stressed
812,under 20,male,Hardware engineering,full-time,6-10,hybrid,5,2,4,3,1,5,2,2,1,5,2,2,Highly Stressed
813,under 20,male,Other,part-time,less than 1 year,hybrid,1,2,1,5,5,5,3,4,1,4,3,4,Healthy
814,21-30,male,Hardware engineering,full-time,6-10,remote,5,1,3,3,4,2,4,3,2,2,5,1,Highly Stressed
815,41-50,male,Software development,contract,6-10,remote,5,2,4,2,1,3,4,1,1,1,1,1,Highly Stressed
816,under 20,female,Other,part-time,11-15,Office-based,4,1,1,3,5,3,1,3,1,4,2,3,Healthy
817,under 20,female,IT Services,part-time,11-15,Office-based,3,4,2,1,2,5,4,5,3,2,5,5,Mildly Stressed
818,51-60,male,Software development,part-time,6-10,hybrid,5,4,3,5,4,3,2,3,5,1,3,4,Healthy
819,41-50,female,Cyber Security,part-time,16-20,hybrid,4,2,5,5,1,2,5,3,2,5,4,1,Burned out
820,under 20,female,Hardware engineering,contract,11-15,remote,2,2,1,2,2,1,3,4,3,2,4,3,Healthy
821,41-50,male,Software development,full-time,6-10,remote,5,1,5,5,4,2,1,4,2,4,5,4,Mildly Stressed
822,21-30,female,Software development,part-time,less than 1 year,Office-based,2,2,3,2,3,3,5,4,5,1,1,2,Mildly Stressed
823,31-40,male,Other,contract,16-20,Office-based,5,5,1,4,2,2,5,4,2,3,4,1,Mildly Stressed
824,under 20,male,Other,part-time,1-5,Office-based,1,4,1,1,3,4,1,4,1,1,5,5,Healthy
825,51-60,female,Other,full-time,6-10,remote,4,2,3,3,1,4,2,3,5,4,2,4,Mildly Stressed
826,21-30,male,Cyber Security,part-time,6-10,hybrid,4,2,2,3,5,3,3,5,3,4,3,3,Healthy
827,41-50,male,Other,contract,16-20,Office-based,1,3,1,3,1,3,1,4,3,3,1,5,Healthy
828,21-30,male,Software development,full-time,11-15,Office-based,3,2,3,4,2,1,5,5,4,4,1,2,Mildly Stressed
829,under 20,male,Other,contract,11-15,remote,4,5,4,1,3,2,5,5,3,1,2,5,Healthy
830,41-50,male,IT Services,full-time,11-15,Office-based,2,4,5,5,3,1,1,2,4,2,1,3,Healthy
831,31-40,female,Other,full-time,1-5,hybrid,4,3,1,5,4,3,5,2,1,1,5,2,Mildly Stressed
832,21-30,female,Cyber Security,full-time,16-20,remote,3,1,4,1,1,3,1,1,3,4,1,3,Highly Stressed
833,under 20,male,IT Services,part-time,16-20,Office-based,2,1,1,1,1,5,1,2,5,3,1,1,Highly Stressed
834,51-60,male,Software development,contract,11-15,Office-based,2,4,2,3,2,1,3,4,4,3,1,3,Healthy
835,41-50,female,Software development,contract,11-15,remote,1,1,3,5,3,3,1,5,3,5,5,5,Healthy
836,21-30,male,Hardware engineering,contract,less than 1 year,remote,5,5,1,1,2,4,5,1,1,3,3,1,Highly Stressed
837,21-30,female,IT Services,full-time,less than 1 year,Office-based,1,2,3,5,2,5,4,2,5,3,4,1,Highly Stressed
838,31-40,male,Hardware engineering,part-time,6-10,hybrid,5,4,1,1,3,2,3,3,5,4,1,4,Mildly Stressed
839,31-40,male,IT Services,full-time,6-10,remote,1,3,2,2,2,5,5,1,1,2,2,5,Mildly Stressed
840,51-60,male,IT Services,contract,16-20,hybrid,5,2,2,3,3,2,5,4,3,2,2,5,Mildly Stressed
841,51-60,male,Cyber Security,part-time,16-20,Office-based,4,1,4,1,2,4,3,5,2,4,5,2,Burned out
842,under 20,male,Hardware engineering,part-time,1-5,hybrid,2,1,2,4,5,2,3,4,3,3,3,3,Healthy
843,under 20,male,Cyber Security,part-time,1-5,Office-based,5,3,3,1,2,1,5,4,4,1,1,3,Mildly Stressed
844,51-60,male,IT Services,contract,less than 1 year,Office-based,4,5,2,2,2,2,4,3,4,2,5,5,Mildly Stressed
845,51-60,female,Software development,part-time,6-10,Office-based,3,3,1,4,5,2,2,3,3,4,4,3,Healthy
846,41-50,female,IT Services,part-time,less than 1 year,Office-based,1,4,2,4,1,5,5,5,4,1,3,5,Healthy
847,31-40,female,Cyber Security,full-time,less than 1 year,hybrid,3,3,3,1,3,4,3,2,2,3,3,1,Highly Stressed
848,under 20,male,Hardware engineering,full-time,6-10,Office-based,4,1,1,2,4,2,1,4,2,4,5,3,Mildly Stressed
849,31-40,male,Hardware engineering,part-time,1-5,Office-based,3,5,4,4,5,1,1,2,5,2,2,3,Healthy
850,31-40,male,Cyber Security,part-time,6-10,hybrid,3,5,4,3,1,5,3,5,4,1,3,5,Mildly Stressed
851,51-60,male,Hardware engineering,full-time,11-15,remote,4,3,4,3,2,4,3,4,3,1,2,5,Mildly Stressed
852,41-50,male,Other,full-time,11-15,hybrid,2,4,1,5,1,4,2,2,5,2,3,2,Mildly Stressed
853,21-30,male,Software development,full-time,11-15,hybrid,5,1,4,5,5,3,3,4,2,1,3,3,Mildly Stressed
854,41-50,male,Software development,contract,16-20,hybrid,1,2,2,2,2,1,1,3,5,2,3,4,Healthy
855,41-50,female,Software development,contract,1-5,Office-based,5,5,1,4,1,5,4,3,1,4,4,5,Mildly Stressed
856,31-40,male,Hardware engineering,full-time,1-5,Office-based,1,3,1,3,4,5,3,1,4,5,2,4,Mildly Stressed
857,41-50,female,Hardware engineering,part-time,16-20,Office-based,5,4,1,3,3,1,2,5,3,3,4,1,Healthy
858,under 20,female,IT Services,full-time,less than 1 year,remote,3,4,5,2,3,4,4,2,2,4,2,1,Highly Stressed
859,31-40,male,IT Services,contract,11-15,Office-based,2,1,3,4,5,2,2,4,5,3,4,4,Healthy
860,under 20,male,Software development,part-time,11-15,remote,3,5,5,2,2,1,4,1,3,3,4,1,Highly Stressed
861,21-30,female,Other,contract,less than 1 year,Office-based,2,1,5,1,2,5,3,5,4,2,4,4,Highly Stressed
862,31-40,female,IT Services,part-time,6-10,hybrid,4,2,5,3,3,1,1,5,3,5,5,2,Mildly Stressed
863,21-30,male,IT Services,contract,6-10,Office-based,1,2,3,2,1,4,4,5,4,3,4,2,Mildly Stressed
864,31-40,male,Hardware engineering,part-time,1-5,remote,1,2,5,2,2,3,5,2,4,3,3,1,Highly Stressed
865,51-60,female,Other,part-time,16-20,remote,4,4,4,1,4,3,2,3,4,4,1,4,Mildly Stressed
866,41-50,male,Software development,part-time,1-5,Office-based,5,5,1,5,4,2,4,1,5,5,4,4,Mildly Stressed
867,51-60,male,IT Services,part-time,6-10,hybrid,4,1,1,3,2,2,2,2,4,5,1,4,Mildly Stressed
868,21-30,male,Other,contract,less than 1 year,Office-based,4,1,2,2,2,4,1,4,3,3,1,1,Mildly Stressed
869,41-50,female,Other,contract,1-5,Office-based,2,2,4,3,3,2,2,2,1,5,3,4,Mildly Stressed
870,31-40,female,Software development,part-time,11-15,Office-based,4,5,3,5,5,3,2,4,3,4,1,5,Healthy
871,41-50,female,Other,part-time,11-15,hybrid,1,5,1,2,3,4,5,4,5,2,1,4,Healthy
872,under 20,male,Other,contract,less than 1 year,remote,3,3,5,1,5,4,2,5,4,3,1,5,Healthy
873,41-50,male,Other,part-time,6-10,hybrid,2,5,2,3,4,4,4,2,1,1,2,2,Healthy
874,under 20,female,IT Services,part-time,11-15,remote,2,5,2,1,5,1,2,3,5,3,4,5,Healthy
875,41-50,female,Software development,part-time,11-15,remote,5,1,1,5,3,2,3,4,2,3,4,2,Mildly Stressed
876,under 20,female,Other,full-time,16-20,remote,3,5,4,5,2,5,2,5,2,2,1,1,Healthy
877,21-30,male,Other,part-time,1-5,hybrid,2,5,2,3,5,3,3,3,2,1,3,2,Healthy
878,51-60,female,IT Services,full-time,6-10,Office-based,4,1,1,5,3,2,2,2,1,1,2,2,Healthy
879,31-40,female,Software development,part-time,1-5,Office-based,2,5,4,4,4,3,2,3,3,1,3,4,Healthy
880,41-50,male,Hardware engineering,contract,6-10,Office-based,2,1,1,3,5,2,4,2,1,2,3,3,Healthy
881,51-60,male,IT Services,full-time,11-15,Office-based,2,3,1,4,4,5,3,4,1,5,1,2,Healthy
882,31-40,male,Software development,full-time,16-20,Office-based,5,4,4,5,4,3,3,1,1,1,5,5,Healthy
883,31-40,female,Other,part-time,1-5,hybrid,2,1,4,3,1,5,5,1,2,5,1,1,Burned Out
884,under 20,male,Software development,part-time,11-15,hybrid,2,1,4,4,5,3,2,4,3,4,5,5,Healthy
885,21-30,male,Software development,full-time,6-10,hybrid,5,5,1,5,3,1,2,3,1,2,2,1,Healthy
886,21-30,female,Software development,contract,1-5,hybrid,3,1,2,2,5,1,4,2,3,5,5,5,Highly Stressed
887,51-60,male,Hardware engineering,contract,1-5,hybrid,1,2,3,2,5,3,5,1,4,1,1,2,Mildly Stressed
888,21-30,female,Software development,part-time,11-15,hybrid,5,2,3,1,4,3,5,2,1,1,1,3,Mildly Stressed
889,41-50,female,Hardware engineering,contract,1-5,hybrid,5,3,1,2,4,5,4,4,1,5,3,2,Mildly Stressed
890,21-30,male,Other,contract,16-20,Office-based,2,1,1,4,4,4,3,3,1,5,1,4,Healthy
891,51-60,male,Hardware engineering,part-time,16-20,remote,2,5,2,2,4,3,1,2,4,4,1,5,Healthy
892,21-30,male,Other,contract,11-15,hybrid,1,5,4,3,3,2,4,3,4,2,4,3,Mildly Stressed
893,41-50,male,Other,part-time,6-10,remote,2,4,1,3,2,2,3,1,2,3,4,5,Healthy
894,under 20,male,Hardware engineering,full-time,11-15,hybrid,4,3,5,3,1,2,5,2,5,4,3,4,Highly Stressed
895,51-60,male,IT Services,part-time,16-20,hybrid,2,5,4,2,4,1,4,5,3,4,5,4,Mildly Stressed
896,under 20,female,Cyber Security,full-time,less than 1 year,Office-based,2,4,1,2,4,5,1,1,5,4,5,4,Mildly Stressed
897,under 20,female,Software development,full-time,less than 1 year,remote,4,5,5,1,1,1,2,3,1,1,4,2,Mildly Stressed
898,under 20,male,Cyber Security,contract,1-5,Office-based,1,4,2,5,4,2,4,4,1,5,2,2,Healthy
899,31-40,female,Software development,contract,1-5,Office-based,4,2,5,1,2,3,1,5,2,2,4,3,Mildly Stressed
900,31-40,male,Software development,contract,less than 1 year,remote,5,2,1,4,5,2,1,2,5,1,2,4,Healthy
901,under 20,female,Other,part-time,16-20,Office-based,4,5,3,3,1,3,4,1,1,4,5,2,Highly Stressed
902,51-60,female,Software development,contract,1-5,hybrid,3,3,1,2,3,5,3,2,5,2,4,1,Highly Stressed
903,41-50,female,Software development,full-time,11-15,hybrid,5,1,3,5,1,4,4,2,2,1,1,1,Highly Stressed
904,41-50,male,Hardware engineering,contract,11-15,hybrid,2,3,2,5,2,3,5,5,5,3,2,2,Mildly Stressed
905,21-30,female,Cyber Security,contract,16-20,hybrid,5,3,2,2,3,1,1,5,3,4,2,3,Healthy
906,51-60,male,Hardware engineering,part-time,1-5,hybrid,1,1,4,1,5,2,1,5,2,1,2,5,Healthy
907,31-40,female,Software development,part-time,11-15,Office-based,1,2,4,5,4,2,2,5,5,1,5,4,Healthy
908,under 20,female,Other,full-time,1-5,Office-based,4,2,3,1,1,2,1,4,1,4,3,2,Mildly Stressed
909,21-30,female,Hardware engineering,part-time,1-5,hybrid,5,1,3,2,3,3,2,3,4,3,1,3,Highly Stressed
910,41-50,female,Hardware engineering,contract,11-15,hybrid,2,4,2,1,1,5,1,5,4,5,4,5,Mildly Stressed
911,31-40,female,IT Services,part-time,less than 1 year,Office-based,1,3,5,3,5,3,1,1,2,3,2,3,Healthy
912,31-40,male,Software development,full-time,11-15,remote,2,5,3,2,1,1,4,2,4,4,5,5,Mildly Stressed
913,under 20,male,Other,contract,16-20,Office-based,3,2,3,2,3,2,4,5,3,5,2,1,Mildly Stressed
914,41-50,female,Hardware engineering,full-time,6-10,Office-based,1,5,5,5,2,3,5,1,2,1,4,5,Healthy
915,51-60,female,Hardware engineering,part-time,11-15,Office-based,4,1,4,5,3,2,3,4,1,3,1,1,Mildly Stressed
916,31-40,female,Other,part-time,1-5,Office-based,3,5,4,5,1,1,5,1,1,3,2,4,Mildly Stressed
917,under 20,female,Software development,full-time,1-5,Office-based,5,5,3,3,5,4,1,1,2,5,5,2,Highly Stressed
918,51-60,male,IT Services,contract,11-15,remote,2,3,4,3,4,4,5,4,4,1,5,1,Highly Stressed
919,41-50,female,Hardware engineering,part-time,6-10,hybrid,1,1,4,4,4,4,4,4,4,3,3,3,Mildly Stressed
920,31-40,male,IT Services,part-time,11-15,hybrid,3,5,4,2,5,2,1,2,1,5,5,5,Healthy
921,51-60,female,Cyber Security,contract,6-10,remote,3,2,2,5,1,3,1,5,3,3,3,3,Healthy
922,51-60,male,Software development,part-time,6-10,hybrid,1,1,1,2,5,2,5,1,4,1,1,1,Mildly Stressed
923,51-60,female,Cyber Security,full-time,16-20,hybrid,5,2,3,1,1,5,2,3,3,1,4,3,Highly Stressed
924,31-40,female,Cyber Security,part-time,1-5,hybrid,5,4,3,3,3,3,3,3,4,2,3,5,Mildly Stressed
925,31-40,male,Cyber Security,part-time,1-5,remote,4,5,2,4,2,1,5,2,2,5,2,2,Mildly Stressed
926,21-30,female,Software development,contract,6-10,remote,5,1,1,1,1,4,5,3,5,4,2,3,Burned Out
927,41-50,female,Software development,full-time,1-5,hybrid,4,2,1,2,4,3,3,2,1,3,4,4,Mildly Stressed
928,under 20,female,Other,contract,less than 1 year,hybrid,3,5,2,3,4,3,1,5,2,1,5,5,Healthy
929,51-60,male,IT Services,part-time,6-10,hybrid,1,3,5,5,2,4,1,2,4,3,2,5,Healthy
930,21-30,female,IT Services,part-time,1-5,Office-based,5,2,5,1,1,1,2,4,1,3,3,4,Mildly Stressed
931,under 20,female,Other,contract,less than 1 year,Office-based,4,2,1,3,2,2,5,4,5,4,4,1,Highly Stressed
932,21-30,male,Other,contract,16-20,Office-based,3,4,5,2,3,2,3,4,5,1,2,4,Mildly Stressed
933,31-40,male,Cyber Security,contract,1-5,remote,5,3,5,2,2,3,5,4,4,2,5,1,Burned Out
934,51-60,male,Other,full-time,less than 1 year,hybrid,2,4,5,1,3,4,4,4,1,5,5,2,Highly Stressed
935,under 20,female,Hardware engineering,part-time,11-15,remote,3,3,1,1,4,5,5,4,4,3,2,1,Highly Stressed
936,under 20,female,IT Services,contract,11-15,remote,5,2,5,1,3,1,5,4,5,4,4,2,Burned Out
937,under 20,female,Other,part-time,less than 1 year,remote,3,4,3,4,1,2,4,4,2,4,1,2,Healthy
938,under 20,male,Hardware engineering,full-time,6-10,hybrid,1,5,1,5,1,1,4,4,2,5,2,4,Healthy
939,under 20,female,Hardware engineering,full-time,6-10,Office-based,1,3,2,3,1,1,3,5,3,5,5,2,Mildly Stressed
940,21-30,female,Hardware engineering,full-time,1-5,hybrid,1,2,5,2,1,1,1,4,5,1,1,1,Mildly Stressed
941,51-60,male,Hardware engineering,full-time,11-15,hybrid,2,1,4,2,5,4,2,2,5,3,4,3,Highly Stressed
942,31-40,male,Cyber Security,part-time,6-10,remote,1,3,1,5,3,4,4,5,4,3,5,5,Healthy
943,31-40,male,Hardware engineering,full-time,6-10,remote,2,3,2,1,1,4,1,3,3,5,4,5,Mildly Stressed
944,31-40,male,Cyber Security,full-time,11-15,remote,1,5,3,1,2,3,3,1,3,2,2,1,Mildly Stressed
945,31-40,male,Cyber Security,contract,16-20,Office-based,3,3,2,2,2,4,5,5,1,3,4,3,Mildly Stressed
946,21-30,female,Hardware engineering,full-time,6-10,Office-based,5,3,5,5,5,3,3,4,4,4,5,2,Mildly Stressed
947,41-50,male,IT Services,contract,less than 1 year,Office-based,5,5,4,2,3,2,3,5,2,5,2,1,Mildly Stressed
948,51-60,female,Hardware engineering,full-time,1-5,hybrid,1,5,5,1,3,2,4,1,1,3,5,2,Highly Stressed
949,under 20,female,Hardware engineering,full-time,6-10,remote,5,4,2,3,3,2,2,1,3,1,5,4,Mildly Stressed
950,41-50,male,Hardware engineering,contract,6-10,hybrid,1,2,1,1,5,2,4,4,2,5,1,3,Healthy
951,31-40,male,IT Services,full-time,16-20,Office-based,1,2,4,3,3,2,5,4,5,4,3,5,Mildly Stressed
952,41-50,male,Software development,part-time,less than 1 year,remote,4,4,4,4,3,4,4,2,4,1,4,1,Highly Stressed
953,51-60,female,Software development,part-time,1-5,Office-based,4,2,2,5,1,5,5,1,3,5,4,5,Highly Stressed
954,under 20,male,Cyber Security,full-time,6-10,remote,4,3,5,4,3,4,4,4,5,5,1,2,Highly Stressed
955,under 20,male,Cyber Security,part-time,1-5,remote,2,4,2,1,1,5,2,1,3,3,4,2,Highly Stressed
956,51-60,male,IT Services,contract,11-15,hybrid,4,4,4,5,1,4,1,2,2,1,1,4,Healthy
957,51-60,male,Other,full-time,6-10,hybrid,1,2,2,1,3,2,2,3,1,5,4,2,Mildly Stressed
958,31-40,male,Software development,full-time,6-10,Office-based,3,1,4,5,2,1,4,1,2,4,4,2,Highly Stressed
959,under 20,female,Cyber Security,contract,11-15,hybrid,4,2,5,5,4,5,3,2,4,1,5,5,Mildly Stressed
960,41-50,female,Software development,contract,16-20,hybrid,4,1,1,1,2,1,1,2,4,3,1,5,Mildly Stressed
961,21-30,female,IT Services,contract,6-10,hybrid,3,4,1,1,3,2,3,2,3,2,4,1,Mildly Stressed
962,21-30,male,IT Services,full-time,1-5,remote,1,1,2,5,3,5,2,5,2,5,3,1,Mildly Stressed
963,51-60,male,Other,contract,less than 1 year,hybrid,2,3,4,5,2,1,1,4,1,2,1,2,Healthy
964,31-40,male,Other,contract,1-5,Office-based,4,5,1,1,3,4,4,1,4,5,1,3,Highly Stressed
965,21-30,female,IT Services,part-time,16-20,remote,3,1,4,1,1,2,3,5,1,3,1,1,Highly Stressed
966,under 20,male,Cyber Security,part-time,less than 1 year,remote,1,5,5,2,5,4,4,1,5,3,5,2,Highly Stressed
967,51-60,male,Software development,full-time,1-5,hybrid,5,3,2,2,3,4,5,5,3,3,1,5,Mildly Stressed
968,41-50,male,Hardware engineering,part-time,1-5,remote,2,5,4,2,3,2,1,4,1,3,5,4,Healthy
969,51-60,female,Other,part-time,11-15,Office-based,3,3,2,4,2,5,3,2,3,1,3,5,Healthy
970,41-50,male,Hardware engineering,contract,16-20,Office-based,3,5,4,5,1,3,2,1,5,1,2,5,Healthy
971,51-60,female,Cyber Security,contract,11-15,remote,3,5,4,3,2,3,2,2,1,5,5,4,Mildly Stressed
972,51-60,male,Other,part-time,less than 1 year,hybrid,4,2,5,4,2,2,2,4,1,1,4,5,Healthy
973,51-60,female,Hardware engineering,part-time,11-15,hybrid,5,1,2,5,3,3,2,1,5,5,1,1,Highly Stressed
